Category: All categories

Week,crime: (Houston TX),Police brutality: (Houston TX),drugs: (Houston TX)
2018-02-11,76,1,63
2018-02-18,71,2,67
2018-02-25,77,2,62
2018-03-04,67,1,63
2018-03-11,66,1,43
2018-03-18,81,1,62
2018-03-25,60,3,53
2018-04-01,69,3,50
2018-04-08,71,2,57
2018-04-15,83,2,66
2018-04-22,69,2,64
2018-04-29,58,4,63
2018-05-06,54,4,51
2018-05-13,65,3,43
2018-05-20,80,3,49
2018-05-27,62,2,55
2018-06-03,59,1,47
2018-06-10,71,3,54
2018-06-17,76,1,58
2018-06-24,78,2,52
2018-07-01,65,2,51
2018-07-08,68,1,45
2018-07-15,63,1,55
2018-07-22,68,0,62
2018-07-29,79,1,54
2018-08-05,63,0,50
2018-08-12,62,2,55
2018-08-19,72,1,44
2018-08-26,68,1,57
2018-09-02,67,5,63
2018-09-09,82,2,59
2018-09-16,69,1,64
2018-09-23,61,1,44
2018-09-30,72,1,55
2018-10-07,62,1,48
2018-10-14,81,3,70
2018-10-21,71,1,68
2018-10-28,60,2,61
2018-11-04,62,1,56
2018-11-11,69,1,53
2018-11-18,66,1,52
2018-11-25,72,2,64
2018-12-02,58,2,62
2018-12-09,68,2,50
2018-12-16,63,1,49
2018-12-23,70,1,39
2018-12-30,77,0,44
2019-01-06,83,1,70
2019-01-13,70,1,53
2019-01-20,77,2,58
2019-01-27,100,2,51
2019-02-03,73,2,65
