Category: All categories

Week,crime: (Houston TX),terrorism: (Houston TX)
2018-02-11,82,7
2018-02-18,70,5
2018-02-25,83,4
2018-03-04,73,4
2018-03-11,67,2
2018-03-18,82,12
2018-03-25,73,6
2018-04-01,77,5
2018-04-08,76,6
2018-04-15,73,5
2018-04-22,76,6
2018-04-29,66,4
2018-05-06,63,5
2018-05-13,67,7
2018-05-20,75,4
2018-05-27,66,1
2018-06-03,67,1
2018-06-10,71,3
2018-06-17,80,3
2018-06-24,79,2
2018-07-01,67,3
2018-07-08,74,1
2018-07-15,69,1
2018-07-22,68,3
2018-07-29,78,3
2018-08-05,64,1
2018-08-12,69,2
2018-08-19,80,1
2018-08-26,81,2
2018-09-02,68,3
2018-09-09,82,2
2018-09-16,71,4
2018-09-23,71,3
2018-09-30,74,3
2018-10-07,68,4
2018-10-14,79,2
2018-10-21,75,7
2018-10-28,70,5
2018-11-04,67,3
2018-11-11,69,3
2018-11-18,65,3
2018-11-25,77,5
2018-12-02,71,5
2018-12-09,67,5
2018-12-16,71,3
2018-12-23,68,1
2018-12-30,81,2
2019-01-06,82,4
2019-01-13,73,4
2019-01-20,87,2
2019-01-27,100,3
2019-02-03,78,4
