Category: All categories

Week,crime: (Houston TX),USA: (Houston TX)
2018-02-11,14,94
2018-02-18,12,96
2018-02-25,14,78
2018-03-04,12,73
2018-03-11,11,79
2018-03-18,14,74
2018-03-25,12,82
2018-04-01,13,78
2018-04-08,13,80
2018-04-15,12,72
2018-04-22,13,74
2018-04-29,11,71
2018-05-06,11,74
2018-05-13,11,81
2018-05-20,13,81
2018-05-27,11,76
2018-06-03,12,81
2018-06-10,12,93
2018-06-17,14,85
2018-06-24,13,77
2018-07-01,12,81
2018-07-08,13,79
2018-07-15,12,83
2018-07-22,12,82
2018-07-29,13,77
2018-08-05,11,75
2018-08-12,12,78
2018-08-19,14,76
2018-08-26,14,73
2018-09-02,12,78
2018-09-09,14,100
2018-09-16,12,73
2018-09-23,12,73
2018-09-30,13,71
2018-10-07,12,79
2018-10-14,13,71
2018-10-21,13,74
2018-10-28,12,75
2018-11-04,11,78
2018-11-11,12,71
2018-11-18,11,73
2018-11-25,13,71
2018-12-02,12,66
2018-12-09,11,68
2018-12-16,12,67
2018-12-23,12,67
2018-12-30,14,70
2019-01-06,14,72
2019-01-13,13,72
2019-01-20,15,74
2019-01-27,17,75
2019-02-03,13,74
