Category: All categories

Week,crime: (Louisiana),time: (Louisiana)
2018-02-11,7,72
2018-02-18,7,72
2018-02-25,7,72
2018-03-04,7,87
2018-03-11,7,95
2018-03-18,6,73
2018-03-25,6,74
2018-04-01,6,73
2018-04-08,7,72
2018-04-15,7,68
2018-04-22,7,72
2018-04-29,6,74
2018-05-06,6,67
2018-05-13,7,79
2018-05-20,7,71
2018-05-27,7,74
2018-06-03,7,75
2018-06-10,7,74
2018-06-17,7,73
2018-06-24,6,79
2018-07-01,6,75
2018-07-08,5,70
2018-07-15,6,73
2018-07-22,7,73
2018-07-29,8,71
2018-08-05,7,70
2018-08-12,8,74
2018-08-19,8,73
2018-08-26,7,72
2018-09-02,6,80
2018-09-09,7,76
2018-09-16,6,77
2018-09-23,7,81
2018-09-30,7,87
2018-10-07,7,86
2018-10-14,8,86
2018-10-21,7,87
2018-10-28,7,97
2018-11-04,6,100
2018-11-11,6,79
2018-11-18,5,89
2018-11-25,6,73
2018-12-02,7,71
2018-12-09,7,71
2018-12-16,7,68
2018-12-23,7,84
2018-12-30,6,85
2019-01-06,7,80
2019-01-13,7,89
2019-01-20,6,90
2019-01-27,8,73
2019-02-03,8,97
